ID Species MaxAge AllocSeed LMR m0 MaxMass mSeed Dist pEstab Gmax SLA palat memo RAR growth mThres clonal propSex meanSpacerLength sdSpacerlength Resshare AllocSpacer mSpacer
73 PFT73clonal1 100 0.05 1 1 5000 1 0.1 0.5 20 0.5 0.25 6 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
74 PFT74clonal1 100 0.05 1 0.3 2000 0.3 0.3 0.5 20 0.5 0.25 6 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
75 PFT75clonal1 100 0.05 1 0.1 1000 0.1 0.6 0.5 20 0.5 0.25 6 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
76 PFT76clonal1 100 0.05 0.75 1 5000 1 0.1 0.5 20 0.5 0.25 6 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
77 PFT77clonal1 100 0.05 0.75 0.3 2000 0.3 0.3 0.5 20 0.5 0.25 6 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
78 PFT78clonal1 100 0.05 0.75 0.1 1000 0.1 0.6 0.5 20 0.5 0.25 6 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
79 PFT79clonal1 100 0.05 0.5 1 5000 1 0.1 0.5 20 0.5 0.25 6 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
80 PFT80clonal1 100 0.05 0.5 0.3 2000 0.3 0.3 0.5 20 0.5 0.25 6 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
81 PFT81clonal1 100 0.05 0.5 0.1 1000 0.1 0.6 0.5 20 0.5 0.25 6 1 0.25 0.2 1 1 2.5 2.5 1 0.05 70
82 PFT1clonal2 100 0.05 1 1 5000 1 0.1 0.5 60 1 1 2 1 0.25 0.2 1 1 2.5 2.5 0 0.05 70
83 PFT2clonal2 100 0.05 1 0.3 2000 0.3 0.3 0.5 60 1 1 2 1 0.25 0.2 1 1 2.5 2.5 0 0.05 70
84 PFT3clonal2 100 0.05 1 0.1 1000 0.1 0.6 0.5 60 1 1 2 1 0.25 0.2 1 1 2.5 2.5 0 0.05 70
85 PFT4clonal2 100 0.05 0.75 1 5000 1 0.1 0.5 60 1 1 2 1 0.25 0.2 1 1 2.5 2.5 0 0.05 70
86 PFT5clonal2 100 0.05 0.75 0.3 2000 0.3 0.3 0.5 60 1 1 2 1 0.25 0.2 1 1 2.5 2.5 0 0.05 70
87 PFT6clonal2 100 0.05 0.75 0.1 1000 0.1 0.6 0.5 60 1 1 2 1 0.25 0.2 1 1 2.5 2.5 0 0.05 70
88 PFT7clonal2 100 0.05 0.5 1 5000 1 0.1 0.5 60 1 1 2 1 0.25 0.2 1 1 2.5 2.5 0 0.05 70
89 PFT8clonal2 100 0.05 0.5 0.3 2000 0.3 0.3 0.5 60 1 1 2 1 0.25 0.2 1 1 2.5 2.5 0 0.05 70
90 PFT9clonal2 100 0.05 0.5 0.1 1000 0.1 0.6 0.5 60 1 1 2 1 0.25 0.2 1 1 2.5 2.5 0 0.05 70
