Sim	Run	Time	Inds	seeds	cover	rootmass	shootmass	PFT	monoculture	invader	AllocSeed	LMR	m0	MaxMass	mSeed	Dist	pEstab	Gmax	SLA	palat	memo	RAR	growth	mThres	clonal	propSex	meanSpacerLength	sdSpacerLength	Resshare	AllocSpacer	mSpacer	
1	0	1	2	0	0.0148333	4104.44	1165.92	63	NA	NA	0.05	0.5	1	5000	1	0.1	0.5	20	0.5	0.25	6	1	0.25	0.2	0	0	0	0	0	0	0
1	0	1	1	0	0.014	883.592	165.109	67	NA	NA	0.05	0.5	0.3	2000	0.3	0.3	0.5	40	1	1	4	1	0.25	0.2	0	0	0	0	0	0	0
1	0	1	3	0	0.0380333	2970.37	1094.25	68	NA	NA	0.05	0.5	0.3	2000	0.3	0.3	0.5	40	0.75	0.5	4	1	0.25	0.2	0	0	0	0	0	0	0
1	0	1	2	0	0.0466667	5216.57	811.826	7	NA	NA	0.05	1	1	5000	1	0.1	0.5	20	1	1	6	1	0.25	0.2	0	0	0	0	0	0	0
1	0	1	5	0	0.0325333	3889.64	951.158	70	NA	NA	0.05	0.5	0.3	2000	0.3	0.3	0.5	20	1	1	6	1	0.25	0.2	0	0	0	0	0	0	0
1	0	1	1	0	0.00826667	1049.35	782.791	71	NA	NA	0.05	0.5	0.3	2000	0.3	0.3	0.5	20	0.75	0.5	6	1	0.25	0.2	0	0	0	0	0	0	0
1	0	1	1	0	0.00306667	504.825	383.877	72	NA	NA	0.05	0.5	0.3	2000	0.3	0.3	0.5	20	0.5	0.25	6	1	0.25	0.2	0	0	0	0	0	0	0
1	0	1	1	0	0.00693333	436.98	338.519	76	NA	NA	0.05	0.5	0.1	1000	0.1	0.6	0.5	40	1	1	4	1	0.25	0.2	0	0	0	0	0	0	0
1	0	1	1	0	0.0074	401.648	335.88	77	NA	NA	0.05	0.5	0.1	1000	0.1	0.6	0.5	40	0.75	0.5	4	1	0.25	0.2	0	0	0	0	0	0	0
1	0	1	2	0	0.0147333	927.58	332.414	79	NA	NA	0.05	0.5	0.1	1000	0.1	0.6	0.5	20	1	1	6	1	0.25	0.2	0	0	0	0	0	0	0
1	0	1	1	0	0.0113667	2353.89	427.703	8	NA	NA	0.05	1	1	5000	1	0.1	0.5	20	0.75	0.5	6	1	0.25	0.2	0	0	0	0	0	0	0
